Product Name,Brand,Category,Regular Price,Discount Price,Ratings,Main Features,Reviews
[7월 올영픽 / 덱스 PICK] 오브제 내추럴 커버 로션 50g 단품/기획(+미니어처 10ml),오브제,BB/CC,"27,900
원","25,900
원 ~",4.8,,
[7/16 하루특가/7월 올영픽]비레디 시카페인 트러블리셋 세럼 40ml 1+1 리필 기획,비레디,에센스/세럼/앰플,"38,000
원","32,900
원",4.8,,
