브랜드,상품명,카테고리,가격,세일 가격,별점,상품 특징,리뷰
크리니크,크리니크 포 맨 안티 에이지 모이스춰라이저 100ml,로션,"72,000원","57,600원",5.0,"['피부타입', '건성에', '좋아요', '피부고민', '보습에', '좋아요', '자극도', '자극없이', '순해요']","['건성피부인 남편이 사용합니다 적당히 수분보습 되고 좋아요', '안티에이징이 일반 로션보다 금액이 조금 높네요\n향 무난하니 좋아요', '쉐어버터가 들어가있어 건성분들 추천드려요\n\n지성인 저는 면도 후 면도한 자리만 발라주는데 좋아요\n\n적당히 리치하게 면도부위를 보호해주지만 남자제품인만큼 어느정도 깔끔하게 마무리해줘요\n\n물론 양조절을 잘 해줘야해요 너무 많이바르면 번들번들\n\n적은양으로도 발림성이 좋아 가성비 굿', '아빠에게 선물했어요! 원래 그냥 남자로션 썼었는데 안티에이징이 나와서 좋네요']"
랩시리즈,랩시리즈 멀티 액션 훼이스 워시 200ml,스킨케어 기타,"71,000원","56,800원",5.0,"['피부타입', '복합성에', '좋아요', '세정력', '아주', '만족해요', '자극도', '자극없이', '순해요']","['남자가 사용하기 촉촉하구 냄새가 강하지 않아서\n선물용으로 강추입니다', '대용량이라 좋기는한데..\n케이스가 상당히 뻑뻑?단단?한 편이라..\n내용물이 적게 남았을때 자르지않으면..\n깔끔하게 쓰기는 좀 힘드네요..\n세정력은 아주 좋습니다.\n향은 딱히 맘에들진 않구요.', '남지 선물용으로 강추합니다\n향도 쎄지않구 세안후 건조하지 않아\n좋다구 하네여', '오랫동안 사용하면서 트러블 없이 만족하고 있습니다.\n\n추천해요!', '랩시리즈 남자선물 좋드고해서\n구매했어영\n향도 세지않아서 남자들이 가볍게 쓰기\n좋다고 해요', '클렌징 좋아요 뽀득뽀득하고\n젤타입 쓰다가 트러블이 자주나서 원래쓰던거로 돌아갔어요', '랩시리즈 훼이스 워시\n가지고 다니기 편리합니다.\n세정력 좋아요', '만족해서 계속 재구매하고 있습니다.\n\n사용하기 편하고 제품도 좋아요.', '선물받아 사용해봤는데 핍 에 잘 맞아서 계속 구매하여 사용 중이에요', '배송빠르게도착했고 제품 만족합니다 재구매 의사있습니다', '너무 좋아요. 선물 받아서 사용했는데 피부에 잘 맞고 좋아서 계속 구매하고 있습니다.', '항상 쓰는 제품이에요\n작은 용량보다는 큰 용량이 좋아서 구매했습니다\n센*랑 번갈아가며 사용중', '멀티액션 훼이스 워시\n랩시리즈\n뽀득뽀득 사용 가능합니다.', '매일매일 뽀득뽀득 알갱이로 씻어주고 잇어요\n씻고 나몀 거칠지 않아요', '가성비 최고.\n세정력 최고.\n페이스워시는 이것만큼 좋은거 없는것 같애요~', '너무너무 만족해요!\n한 번 구매한뒤로 계속 구매하고 있습니다.', '만족해서 계속 재구매하고 있었는데\n사이즈 큰 거 나와서 좋네요.', '싸게 대용량 제품 구매할 수 있어서 좋았고 제품이야 원래 좋습니다', '시원하게 씻기고 양도 많고 아주 좋아요 가격이 저렴하진 않지만', '계속 사용하던 제품인데\n대용량이 나와서 구매했습니다.\n\n세일해서 저렴하게 판매해서 바로 구매했어요ㅎㅎ', '워낙 베스트셀러라서 품질은 의심의 여지가 없고, 새롭게 200ml 나와서 너무 좋네요, 행사기간에 싸게 잘 구매했습니다.']"
